country,date,description,hazard,importer,incidents,link,name,remedy,retailer,units
China,"March 14, 2019","This recall involves Mobile Warming Performance Heated Socks sold with lithium-ion batteries. Only socks with serial number MW18A04-17-14, MW18A04-17-15, MW18A04-M4-10/W6-11 and MW18A04-M10-14 are included in the recall. These socks are  gray and made of a poly-cotton blend in men’s and women’s size 6-10 and 10-14. The socks heat when the battery is connected and is in the on position. The heating on/off is controlled through the battery switch or the phone app when a phone is paired.","The lithium-ion battery can overheat, melt or ignite when charged with a charger other than the one provided with the product, posing fire and burn hazards to the user.","Tech Gear 5.7, Inc., of San Marcos, Calif.","Tech Gear 5.7 has received four reports of batteries overheating, melting or igniting, resulting in minor property damage in two instances, and melting of the battery case in the others. No injuries have been reported.",https://cpsc.gov/Recalls/2019/Tech-Gear-5-7-Recalls-Performance-Heated-Socks-Due-to-Fire-and-Burn-Hazards,Mobile Warming Performance Heated Socks,Refund,"
","4,000"
China,"March 12, 2019","The recall expansion involves lithium-ion batteries for HP commercial notebook computers and mobile workstations were sold to businesses and other organizations. The batteries were shipped with or sold as accessories for HP ProBooks (64x G2 and G3 series, 65x G2 and G3 series, 4xx G4 series), HPx360 (310 G2), HP Pavilion x360 11inch Notebook PC, HP 11 Notebook PC, HP ZBook (17 G3, and Studio G3) mobile workstations. The batteries were also sold as accessories or replacement batteries for the HP ZBook Studio G4 mobile workstation, HP ProBook 4xx G5 series, HP ENVY 15, HP Mobile Thin Clients (mt21, mt22, and mt31), or for any of the products listed above.","The lithium-ion batteries can overheat, posing fire and burn hazards.","HP Inc., of Palo Alto, Calif.","HP has received eight new reports of battery packs in the U.S. overheating, melting, or charring, including one report of minor injury and two reports of property damage totaling $1,100.",https://cpsc.gov/Recalls/2019/HP-Expands-Recall-of-Batteries-for-Notebook-Computers-and-Mobile-Workstations-Due-to-Fire-and-Burn-Hazards,Lithium-ion batteries for HP commercial notebook computers and mobile workstations,Replace,HP and authorized dealers nationwide and online at ,"About 78,500 (In addition 50,000 were previously 
recalled
 in the U.S. in January 2018.)  "
Taiwan and China,"March 14, 2019","This recall involves O’Brien Performer Pro Combo Skis. These skis have a binding mounted to a plastic plate that is then mounted on the ski top. The skis were equipped with O’Brien’s X9 or Avid bindings, printed on the bindings, and an aluminum fin. O’Brien’s Performer Combo Skis, which are equipped with a plastic fin and O’Brien’s “X8” binding, are unaffected by this recall.","The skis can detach from the binding during a fall, allowing the ski to break, posing an injury hazard to the user","O’Brien Watersports Inc., of Snoqualmie, Wash.",O’Brien Watersports has received three reports of leg injuries from skis breaking or bindings pulling off the ski during falls while slalom skiing.,https://cpsc.gov/Recalls/2019/OBrien-Watersports-Recalls-Water-Skis-Due-to-Injury-Hazard,Performer Pro Combo water skis,Refund,"
","About 3,560 (in addition, about 700 were sold in Canada)"
Taiwan,"March 14, 2019","This recall involves 2019 Mule Pro MX utility vehicles, models 700 EPS, 700 EPS LE and 700 Camo EPS. The four-wheel, off-highway utility vehicles were sold in camo, green, red and white. They have side by side seating for two people and automotive style controls. Mule Pro MX is printed on the right and left front fender. Kawasaki is printed on the cargo box. The Vehicle Identification Number (VIN) is located on the steel frame between the right, front lower A-arm mounts. ","The vehicle’s oil cooler hoses can separate and the fuel tank cap gasket can crack allowing fuel to leak, posing a fire hazard. ","Kawasaki Motors Corp., U.S.A. of Foothill Ranch, Calif.",Kawasaki has received seven reports of vehicles catching on fire and being damaged. No injuries have been reported.,https://cpsc.gov/Recalls/2019/Kawasaki-USA-Recalls-Off-Highway-Utility-Vehicles-Due-to-Fuel-Leak-Fire-Hazards-Recall-Alert,Kawasaki Mule™ Pro-MX™ off-highway utility vehicles,Repair,,"About 2,600"
China,"March 13, 2019",This recall involves H-E-B’s Kitchen & Table 5.5 qt. Sauté Pans with glass lids. The affected products were sold in red and gray. There is a Kitchen & Table logo and production date code on the bottom of the pans. Only pans with a date code from 05/2018 through 12/2018 are included in the recall.,"The glass lid can crack or shatter during normal use, posing a laceration hazard.","H‑E‑B Grocery Company, LLC, of San Antonio, Texas","H-E-B received eight reports of the glass lid cracking or shattering, including one report of an eye injury.",https://cpsc.gov/Recalls/2019/HEB-Recalls-Saut-Pans-Due-to-Laceration-Hazard,Kitchen & Table 5.5 qt. Sauté Pan with glass lid,Refund,H‑E‑B stores in Texas and online at www.heb.com from May 2018 through January 2019 for about $30.,"About 12,000"
United States ,"March 5, 2019","This recall involves Model Year 2019 Textron Havoc off-highway utility vehicles manufactured by Arctic Cat. The two-seat vehicles come in three color combinations: Charcoal metallic/black, red/black or white/black. The vehicles have Textron Off Road printed on each side of the hood and Havoc on each side of the rear cargo box. Vehicle identification numbers (VIN) ending in 9007497 through 9007717 are included in this recall. The VIN is stamped under the vehicle’s front hood.","Fuel can leak from the fuel line, posing a fire hazard.",,None reported,https://cpsc.gov/Recalls/2019/Arctic-Cat-Recalls-Textron-OffHighway-Utility-Vehicles-Due-to-Fuel-Leak-and-Fire-Hazard-Recall-Alert,Havoc off-highway utility vehicles (ROVs),Repair,"Textron Off Road and Arctic Cat dealers nationwide from October 2018 through January 2019 for between $14,000 and $18,000.",About 200
China,"March 14, 2019","This recall involves WIC nutrition plates which illustrate the recommended distribution of the food groups. The plates contain dividers that include labels and colorful pictures showing the portion sizes for protein, grains, vegetables, fruits, and dairy. The plates are 12 inches long x 9 inches wide. The back of WIC Nutrition Plate has the safety label, Brush Art website and logo, date code of 7-18 and location of manufacture. The units that have an engraved stamp of ISP219 are not subject to recall.","The plates are incorrectly labeled as microwave-safe. They contain aluminum, which poses a fire hazard if microwaved.","Brush Art Corp., of Downs, Kan.",Brush Art has received two reports of plates catching fire while in the microwave and one report of the plate melting. No injuries have been reported.,https://cpsc.gov/Recalls/2019/Brush-Art-Recalls-WIC-Nutrition-Plates-Due-to-Fire-Hazard,WIC nutrition plates,Replace,Distributed as a free promotional item exclusively by WIC clinics located in Indiana from August 2018 through November 2018.,"About 98,000"
"China 
","March 8, 2019","This recall involves animal-themed sequined heating pads that are heated by USB connection to a PC, laptop, power bank, car charger or other 5V USB port. The heating pads were sold in four styles: French Bull Dog, Sequin Cat Head, Sequin Fox Head and Sequin Blue Owl. A use and care label bearing the name “Aroma Home” is sewn into the bottom pocket of the heating pad where the USB cord emerges.","The heating pads can overheat during use, posing fire and burn hazards. ","The TJX Companies Inc., of Framingham, Mass.",None reported in the U.S.,https://cpsc.gov/Recalls/2019/TJX-Recalls-Heating-Pads-Due-to-Fire-and-Burn-Hazards-Sold-Exclusively-at-T-J-Maxx-and-Marshalls-Stores,Aroma Home USB Heated Hottie heating pads ,Refund,T.J. Maxx and Marshalls stores nationwide from November 2018 through January 2019 for $13. ,"About 5,600 (in addition, about 3,600 were sold in Canada) "
United States,"February 21, 2019","This recall involves Shearwater yellow pressure diving transmitters. The transmitters provide a tank pressure reading for scuba divers.  The transmitter is yellow, with a cylindrical shape and measures 3 inches in length. “FCC ID: MH8A” is printed on the end of the transmitter.  Part number 13009 or 13009-01 is printed on the cardboard packaging along with an 8 digit serial number starting in FK or BM etched on the side.",The transmitters can fail to signal the tank pressure due to interference while using two transmitters in the same dive. This poses a drowning hazard to divers.,,The firm has received one report of loss of communication using the transmitter during a dive.,https://cpsc.gov/Recalls/2019/Shearwater-Recalls-Diving-Transmitters-Due-to-Drowning-Hazard,Shearwater yellow diving pressure transmitters,Repair,Dive Right In Scuba and Online Scuba stores nationwide and online at ,"About 900 (in addition, about 65 were sold in Canada) "
China,"February 26, 2019","This recall involves folding JumpSport mini trampolines. The recalled fitness trampoline models have a hinged, round metal frame with a black fabric jumping surface suspended by bungee cords. Some models were sold with accessories, such as a handlebar or workout videos. The model number is printed on a label on the upper potion of one of the trampoline legs. “JumpSport” and “Fitness Trampoline” are printed on the black fabric jumping surface.","The folding trampoline’s frame can forcefully hit the user, posing an injury hazard.","JumpSport Inc., of Campbell, Calif.","JumpSport has received nine reports of injuries involving contact with the frame, including cuts, bruises, and dental/facial injuries.",https://cpsc.gov/Recalls/2019/JumpSport-Recalls-Mini-Trampolines-Due-to-Injury-Hazard-New-Instructions-and-Warning-Labels-Provided, JumpSport® half-fold fitness mini-trampolines,New Instructions,"
","About 11,300 (in addition, about 1,200 were sold in Canada)"
